,avg_loss_train,avg_loss_train_fix,duration,epoch,loss_std,loss_train,test_recons_error,train_recons_error
0,18.6815414429,186.815414429,66.699966,0,0.0,186.815414429,186.127029419,186.201751709
1,35.431426239,186.481190732,114.490928,1,0.0,186.180389404,,
2,50.4395714569,186.123879915,1.001713,2,0.0,185.512878418,,
3,63.8356823654,185.622804203,1.001406,3,0.0,184.400680542,,
4,75.8462059258,185.212097203,1.001642,4,0.0,183.940917969,,
5,86.4509194396,184.503807289,1.00159,5,0.0,181.893341064,,
6,95.9074510308,183.835309836,1.002562,6,0.0,181.016235352,,
7,104.163753352,182.893338507,1.003193,7,0.0,178.470474243,,
8,111.195209743,181.519635812,1.002435,8,0.0,174.478317261,,
9,117.020838,179.666765549,1.002725,9,0.0,169.45149231,,
10,121.804960254,177.509240977,1.002591,10,0.0,164.862060547,,
11,125.494306758,174.887781951,1.003005,11,0.0,158.698425293,,
12,128.161148055,171.840764868,1.001564,12,0.0,152.162719727,,
13,129.652810654,168.111279058,1.002995,13,0.0,143.077774048,,
14,130.465279223,164.291427153,1.002332,14,0.0,137.777496338,,
15,130.13650185,159.735883562,1.00201,15,0.0,127.177505493,,
16,129.014025218,154.836367576,1.001929,16,0.0,118.911735535,,
17,127.651989609,150.195533421,1.002257,17,0.0,115.393669128,,
18,126.036026183,145.720736966,1.002534,18,0.0,111.492355347,,
19,123.696733257,140.816764381,1.00249,19,0.0,102.643096924,,
20,121.457026667,136.379537835,1.002459,20,0.0,101.299667358,,
21,119.339820552,132.375804605,1.002109,21,0.0,100.284965515,,
22,116.241274746,127.545558686,1.002188,22,0.0,88.3543624878,,
23,112.952228753,122.743001386,1.002445,23,0.0,83.3508148193,,
24,110.180936237,118.702569839,1.001781,24,0.0,85.2393035889,,
25,107.949826866,115.406323962,1.001442,25,0.0,87.8698425293,,
26,105.995942965,112.540121428,1.001548,26,0.0,88.410987854,,
27,103.884811498,109.621844798,1.001856,27,0.0,84.8846282959,,
28,101.700632564,106.72764185,1.002328,28,0.0,82.0430221558,,
29,99.3493284625,103.74729653,1.002205,29,0.0,78.1875915527,,
30,97.4238224961,101.288173179,1.00162,30,0.0,80.0942687988,,
31,95.4497736816,98.8437557294,1.0028,31,0.0,77.6833343506,,
32,93.5391407958,96.5219742679,1.001635,32,0.0,76.3434448242,,
33,91.6903941052,94.3135208714,1.001828,33,0.0,75.0516738892,,
34,90.4930267527,92.8163646951,1.002525,34,0.0,79.7167205811,,
35,89.3489357169,91.4082165408,1.001585,35,0.0,79.052116394,,
36,88.0454546513,89.8675699205,1.00193,36,0.0,76.314125061,,
37,86.4341358097,88.0407028755,1.001955,37,0.0,71.9322662354,,
38,85.570998718,86.9998143534,1.002123,38,0.0,77.8027648926,,
39,84.2271381345,85.4907671564,1.002673,39,0.0,72.1323928833,,
40,83.4283859605,84.5531795447,1.002211,40,0.0,76.239616394,,
41,82.3876637585,83.3860039569,1.002254,41,0.0,73.0211639404,,
